age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,result
55,self-employed,married,tertiary,no,1810,yes,no,-1,0,unknown,fail
54,management,married,tertiary,no,364,yes,no,-1,0,unknown,fail
35,technician,married,secondary,no,-180,no,yes,-1,0,unknown,success
58,retired,married,primary,no,69,no,no,-1,0,unknown,fail
48,management,married,tertiary,no,2351,no,no,105,3,success,success
53,self-employed,married,secondary,no,1,yes,yes,-1,0,unknown,fail
50,retired,divorced,secondary,no,4861,no,no,-1,0,unknown,fail
33,technician,single,secondary,no,1327,yes,no,-1,0,unknown,fail
41,unemployed,married,primary,no,557,yes,no,173,1,failure,fail
,blue-collar,married,primary,no,849,yes,no,-1,0,unknown,fail
55,services,married,unknown,no,715,yes,no,-1,0,unknown,fail
39,management,married,secondary,no,517,yes,no,196,2,failure,fail
31,management,single,tertiary,no,471,no,no,-1,0,unknown,fail
41,admin.,married,secondary,no,2661,yes,no,-1,0,unknown,fail
31,management,single,tertiary,no,775,yes,no,308,2,failure,fail
57,management,married,tertiary,no,388,no,yes,-1,0,unknown,fail
45,services,married,secondary,no,24,yes,no,-1,0,unknown,fail
26,management,single,tertiary,no,1222,no,yes,-1,0,unknown,fail
39,unemployed,married,tertiary,no,201,no,no,119,1,failure,success
52,technician,married,secondary,no,981,no,no,-1,0,unknown,fail
28,management,single,tertiary,no,0,yes,no,-1,0,unknown,success
62,unemployed,married,primary,no,532,no,no,300,1,other,fail
40,admin.,single,secondary,no,462,yes,yes,335,4,other,fail
40,admin.,married,secondary,no,1614,no,no,-1,0,unknown,fail
59,retired,divorced,tertiary,no,381,yes,no,-1,0,unknown,fail
53,management,divorced,tertiary,no,26306,yes,no,-1,0,unknown,fail
32,blue-collar,married,primary,no,-283,yes,no,349,2,other,fail
45,management,married,tertiary,no,2077,no,no,-1,0,unknown,fail
25,services,single,secondary,no,229,yes,no,-1,0,unknown,fail
39,self-employed,divorced,tertiary,no,1415,no,no,-1,0,unknown,fail
48,management,divorced,tertiary,no,1669,yes,no,,0,unknown,fail
36,management,single,tertiary,no,-78,yes,no,-1,0,unknown,success
45,admin.,divorced,secondary,no,875,yes,yes,-1,0,unknown,fail
34,management,divorced,tertiary,no,2885,no,no,156,4,other,success
24,management,single,tertiary,no,553,yes,no,-1,0,unknown,fail
56,entrepreneur,married,tertiary,no,-124,yes,no,-1,0,unknown,fail
51,technician,married,tertiary,no,1057,no,no,-1,0,unknown,fail
86,retired,married,primary,no,5236,no,no,-1,0,unknown,success
41,self-employed,married,tertiary,no,-195,yes,yes,-1,0,unknown,fail
49,blue-collar,married,primary,no,3103,no,no,-1,0,unknown,fail
57,management,married,tertiary,no,113,no,no,-1,0,unknown,fail
49,technician,divorced,secondary,no,-1547,yes,yes,-1,0,unknown,fail
47,services,married,secondary,no,2,no,no,-1,0,unknown,fail
30,technician,single,tertiary,no,198,yes,no,-1,0,unknown,fail
44,blue-collar,divorced,secondary,no,558,yes,no,-1,0,unknown,fail
35,unemployed,single,tertiary,no,4959,no,no,-1,0,,fail
31,services,married,secondary,no,-309,yes,no,-1,0,unknown,fail
27,services,single,secondary,no,-74,yes,no,345,1,failure,fail
34,blue-collar,married,secondary,no,470,yes,yes,-1,0,unknown,fail
32,management,married,tertiary,no,-360,yes,no,-1,0,unknown,fail
49,management,married,tertiary,no,0,no,no,-1,0,unknown,fail
42,admin.,married,secondary,no,-150,no,yes,-1,0,unknown,fail
53,services,married,secondary,no,1,no,no,-1,0,unknown,fail
27,management,married,secondary,no,2071,no,no,-1,0,unknown,success
64,retired,married,secondary,no,1612,no,no,89,5,failure,success
30,blue-collar,married,secondary,no,365,no,no,-1,0,unknown,fail
49,blue-collar,divorced,secondary,yes,259,no,no,-1,0,unknown,fail
24,blue-collar,single,secondary,no,6,yes,no,-1,0,unknown,fail
33,management,single,tertiary,no,2360,yes,no,-1,0,unknown,fail
34,management,married,tertiary,no,4170,yes,no,-1,0,unknown,fail
30,admin.,single,secondary,no,223,yes,no,-1,0,unknown,success
24,student,single,secondary,no,745,yes,no,-1,0,unknown,fail
31,management,single,tertiary,no,394,no,yes,-1,0,unknown,fail
38,blue-collar,married,unknown,no,5830,no,no,-1,0,unknown,fail
36,technician,married,tertiary,no,530,yes,no,-1,0,unknown,fail
30,services,married,secondary,no,517,no,no,-1,0,unknown,success
32,management,single,tertiary,no,4582,yes,no,-1,0,unknown,fail
49,admin.,single,tertiary,no,228,yes,no,-1,0,unknown,success
34,technician,single,secondary,no,-89,yes,no,-1,0,unknown,fail
28,blue-collar,single,secondary,no,975,yes,no,-1,0,unknown,fail
31,services,single,secondary,no,187,yes,no,347,1,failure,fail
32,housemaid,married,secondary,no,216,no,yes,-1,0,unknown,fail
32,blue-collar,married,secondary,no,112,yes,no,321,1,other,fail
59,management,divorced,tertiary,no,258,yes,no,173,1,success,fail
36,technician,divorced,secondary,no,141,yes,no,-1,0,unknown,fail
37,management,married,tertiary,no,539,no,no,45,1,failure,fail
24,student,single,secondary,no,0,no,no,-1,0,unknown,fail
42,management,married,tertiary,no,17,no,no,-1,0,unknown,fail
19,student,single,secondary,no,329,no,no,190,2,success,success
54,technician,divorced,secondary,no,0,yes,yes,203,5,failure,fail
25,student,single,secondary,no,304,no,no,-1,0,unknown,success
30,management,married,tertiary,no,126,yes,yes,-1,0,unknown,fail
44,management,married,tertiary,no,1451,yes,no,80,15,failure,fail
45,technician,single,tertiary,no,0,yes,no,-1,0,unknown,fail
37,technician,single,secondary,yes,375,no,no,-1,0,unknown,fail
49,blue-collar,divorced,primary,no,15,yes,no,-1,0,unknown,fail
28,blue-collar,married,secondary,no,127,yes,yes,-1,0,unknown,fail
45,blue-collar,divorced,primary,no,942,no,no,-1,0,unknown,fail
30,admin.,single,secondary,no,330,no,yes,-1,0,unknown,fail
34,management,married,tertiary,no,7384,no,no,-1,0,unknown,fail
34,admin.,single,secondary,no,607,no,no,326,3,other,fail
32,admin.,married,secondary,no,366,no,no,-1,0,unknown,success
58,blue-collar,married,secondary,no,371,no,no,-1,0,unknown,fail
27,blue-collar,single,primary,no,0,yes,no,-1,0,unknown,fail
56,retired,married,primary,no,340,yes,no,-1,0,unknown,fail
47,admin.,single,secondary,no,-874,yes,no,-1,0,unknown,fail
56,entrepreneur,married,tertiary,no,8741,yes,no,-1,0,unknown,fail
32,technician,single,tertiary,no,849,yes,no,-1,0,unknown,fail
20,student,single,secondary,no,1681,no,no,-1,0,unknown,fail
43,technician,divorced,secondary,no,159,no,no,-1,0,unknown,fail
46,technician,single,secondary,no,5862,no,no,-1,0,unknown,success
34,technician,married,secondary,no,2467,no,no,-1,0,unknown,fail
40,technician,divorced,tertiary,no,0,no,no,-1,0,unknown,success
40,blue-collar,married,primary,no,2495,yes,no,354,3,other,fail
52,management,married,secondary,no,4873,no,no,213,9,failure,fail
32,technician,single,tertiary,no,514,yes,yes,168,1,failure,fail
58,retired,divorced,secondary,no,19,no,no,-1,0,unknown,fail
37,management,married,tertiary,no,3841,no,no,-1,0,unknown,fail
32,admin.,married,tertiary,no,233,yes,no,133,4,failure,fail
26,student,single,secondary,no,1209,yes,no,-1,0,unknown,fail
58,retired,married,secondary,no,8332,no,no,96,4,failure,fail
29,admin.,married,tertiary,no,238,no,no,78,3,success,fail
35,technician,divorced,tertiary,no,4515,yes,no,-1,0,unknown,fail
52,admin.,married,unknown,no,635,no,no,-1,0,unknown,fail
27,blue-collar,married,primary,no,713,yes,no,-1,0,unknown,fail
